atlAACfile	atlAPEtag
atlAACfile	atlID3v1
atlAACfile	atlID3v2
atlFLACfile	atlID3v2
atlMPEGaudio	atlAPEtag
atlMPEGaudio	atlID3v1
atlMPEGaudio	atlID3v2
atlMPEGplus	atlAPEtag
atlMPEGplus	atlID3v1
atlMPEGplus	atlID3v2
atlMonkey	atlAPEtag
atlMonkey	atlID3v1
atlMonkey	atlID3v2
atlMusepack	atlAPEtag
atlMusepack	atlID3v1
atlMusepack	atlID3v2
atlOptimFROG	atlAPEtag
atlOptimFROG	atlID3v1
atlOptimFROG	atlID3v2
atlSpeex	atlVorbisComment
atlTTA	atlAPEtag
atlTTA	atlID3v1
atlTTA	atlID3v2
atlWAVPackfile	atlAPEtag
